id,level,primary_en,secondary_en,note_en,note_ko,is_leaf,recommended_app_category,color_hex,source_confidence,remarks
floral,primary,Floral,,Floral,플로럴,false,FLORAL,#C2185B,high,SCA/WCR wheel primary category
black_tea,leaf,Floral,,Black Tea,홍차,true,TEA_LIKE,#8A5A3B,high,Outer descriptor directly under Floral
floral_group,secondary,Floral,Floral,Floral,꽃향,false,FLORAL,#C2185B,high,Secondary descriptor under Floral
chamomile,leaf,Floral,Floral,Chamomile,캐모마일,true,FLORAL,#E8D889,high,
rose,leaf,Floral,Floral,Rose,장미,true,FLORAL,#D9A0B8,high,
jasmine,leaf,Floral,Floral,Jasmine,자스민,true,FLORAL,#C8A2C8,high,
fruity,primary,Fruity,,Fruity,과일향,false,TROPICAL_FRUIT,#E53935,high,SCA/WCR wheel primary category
berry,secondary,Fruity,Berry,Berry,베리,false,BERRY,#9B1B5A,high,
blackberry,leaf,Fruity,Berry,Blackberry,블랙베리,true,BERRY,#3E244C,high,
raspberry,leaf,Fruity,Berry,Raspberry,라즈베리,true,BERRY,#C72D62,high,
blueberry,leaf,Fruity,Berry,Blueberry,블루베리,true,BERRY,#4C3A8C,high,
strawberry,leaf,Fruity,Berry,Strawberry,딸기,true,BERRY,#D94B6A,high,
dried_fruit,secondary,Fruity,Dried Fruit,Dried Fruit,말린 과일,false,WINEY_FERMENTED,#8F3D54,high,
raisin,leaf,Fruity,Dried Fruit,Raisin,건포도,true,WINEY_FERMENTED,#5B3144,high,
prune,leaf,Fruity,Dried Fruit,Prune,푸룬,true,WINEY_FERMENTED,#4E2D3D,high,
other_fruit,secondary,Fruity,Other Fruit,Other Fruit,기타 과일,false,TROPICAL_FRUIT,#F26C4F,high,
coconut,leaf,Fruity,Other Fruit,Coconut,코코넛,true,TROPICAL_FRUIT,#E8D6B5,high,
cherry,leaf,Fruity,Other Fruit,Cherry,체리,true,BERRY,#B5233F,high,
pomegranate,leaf,Fruity,Other Fruit,Pomegranate,석류,true,BERRY,#B71C3B,high,
pineapple,leaf,Fruity,Other Fruit,Pineapple,파인애플,true,TROPICAL_FRUIT,#EBC84A,high,
grape,leaf,Fruity,Other Fruit,Grape,포도,true,APPLE_PEAR,#7E5AA6,high,
apple,leaf,Fruity,Other Fruit,Apple,사과,true,APPLE_PEAR,#C9D96A,high,
peach,leaf,Fruity,Other Fruit,Peach,복숭아,true,STONE_FRUIT,#F4A261,high,
pear,leaf,Fruity,Other Fruit,Pear,배,true,APPLE_PEAR,#D7D987,high,
citrus_fruit,secondary,Fruity,Citrus Fruit,Citrus Fruit,시트러스,false,CITRUS,#F6C945,high,
grapefruit,leaf,Fruity,Citrus Fruit,Grapefruit,자몽,true,CITRUS,#F06F61,high,
orange,leaf,Fruity,Citrus Fruit,Orange,오렌지,true,CITRUS,#F79A3E,high,
lemon,leaf,Fruity,Citrus Fruit,Lemon,레몬,true,CITRUS,#F6C945,high,
lime,leaf,Fruity,Citrus Fruit,Lime,라임,true,CITRUS,#B7D968,high,
sour_fermented,primary,Sour/Fermented,,Sour/Fermented,신맛/발효,false,WINEY_FERMENTED,#D8C21A,high,SCA/WCR wheel primary category
sour,secondary,Sour/Fermented,Sour,Sour,시큼함,false,WINEY_FERMENTED,#D7C835,high,
sour_aromatics,leaf,Sour/Fermented,Sour,Sour Aromatics,시큼한 향,true,WINEY_FERMENTED,#D7C835,high,
acetic_acid,leaf,Sour/Fermented,Sour,Acetic Acid,초산,true,WINEY_FERMENTED,#C9B72F,high,
butyric_acid,leaf,Sour/Fermented,Sour,Butyric Acid,부티르산,true,WINEY_FERMENTED,#B8AA2B,high,
isovaleric_acid,leaf,Sour/Fermented,Sour,Isovaleric Acid,이소발레르산,true,WINEY_FERMENTED,#A99D2A,high,
citric_acid,leaf,Sour/Fermented,Sour,Citric Acid,구연산,true,CITRUS,#F2D647,high,
malic_acid,leaf,Sour/Fermented,Sour,Malic Acid,사과산,true,APPLE_PEAR,#B7D968,high,
alcohol_fermented,secondary,Sour/Fermented,Alcohol/Fermented,Alcohol/Fermented,알코올/발효,false,WINEY_FERMENTED,#B9A51B,high,
winey,leaf,Sour/Fermented,Alcohol/Fermented,Winey,와인향,true,WINEY_FERMENTED,#7B2D43,high,
whiskey,leaf,Sour/Fermented,Alcohol/Fermented,Whiskey,위스키,true,WINEY_FERMENTED,#B76E2D,high,
